"Date","sulfate","nitrate","ID"
"2005-07-21",1.85,0.177,1
"2005-07-22",NA,NA,1
"2005-07-23",NA,NA,1
"2005-07-24",NA,NA,1
"2005-07-25",NA,NA,1
"2005-07-26",NA,NA,1
"2005-07-27",13,0.178,1
"2005-07-28",NA,NA,1
"2005-07-29",NA,NA,1
"2005-07-30",NA,NA,1
"2005-07-31",NA,NA,1
"2005-08-01",NA,NA,1
"2005-08-02",2.57,0.503,1
"2005-08-03",NA,NA,1
"2005-08-04",NA,NA,1
"2005-08-05",NA,NA,1
"2005-08-06",NA,NA,1
"2005-08-07",NA,NA,1
"2005-08-08",2.68,0.191,1
"2005-08-09",NA,NA,1
"2005-08-10",NA,NA,1
"2005-08-11",NA,NA,1
"2005-08-12",NA,NA,1
"2005-08-13",NA,NA,1
"2005-08-14",5.42,0.209,1
